月份,項目,金額,數量,比率,來源,單位,客戶,耗時分鐘
2025-06-01,後段,68.41,27,3.57,已回報,資材,順發,148
2025-07-11,完成,59.83,32,38.53,,資材,永利,75
2025-07-13,後段,15.17,217,80.9,,營運,大宏,7
2025-07-20,完成,59.13,224,23.45,待確認,品保,力鋼,55
2025-06-14,完成,76.94,185,12.33,,營運,捷欣,236
2025-06-10,前段,77.58,208,14.38,,資材,永利,116
2025-06-22,後段,58.87,20,53.07,,研發,捷欣,160
2025-07-10,後段,81.16,46,61.43,,製造,大宏,117
2025-07-03,完成,0.24,144,63.01,已回報,品保,永利,38
2025-06-17,完成,43.95,69,11.56,已回報,資材,永利,117
2025-07-20,後段,34.83,123,23.22,待確認,製造,捷欣,12
2025-07-14,後段,97.91,196,51.31,,資材,永利,82
2025-07-22,完成,83.84,234,32.83,,製造,永利,178
2025-07-20,完成,11.89,60,27.5,,資材,捷欣,2
2025-06-19,後段,42.48,40,3.94,,資材,永利,126
2025-06-05,完成,58.41,231,25.08,,研發,永利,206
2025-07-04,前段,15.39,72,58.8,,資材,東昇,229
2025-07-08,後段,98.0,125,68.38,,營運,力鋼,192
2025-07-10,完成,3.47,155,65.71,,品保,東昇,205
2025-07-26,中段,29.05,47,45.02,,營運,東昇,89
2025-06-27,前段,37.11,138,21.84,,營運,捷欣,203
2025-07-14,前段,2.16,226,7.39,,研發,順發,64
2025-06-05,中段,23.78,125,57.57,,製造,捷欣,116
2025-06-07,前段,62.48,156,46.56,已回報,資材,順發,198
2025-06-25,完成,50.66,38,10.7,,營運,永利,200
2025-07-29,前段,8.82,157,42.08,,研發,東昇,121
2025-07-27,完成,78.08,38,55.77,待確認,營運,東昇,19
2025-07-20,前段,34.19,22,51.95,,製造,永利,137
2025-07-24,後段,71.05,227,59.74,已回報,資材,力鋼,89
2025-06-14,後段,60.96,35,63.54,已回報,製造,東昇,120
2025-07-21,中段,68.9,105,48.14,,研發,順發,61
2025-07-10,完成,18.88,129,10.22,已回報,營運,順發,8
2025-07-18,前段,6.78,32,25.7,,品保,順發,161
2025-06-18,中段,70.26,194,32.43,,品保,大宏,224
2025-07-26,前段,13.1,60,1.35,,研發,順發,157
2025-07-25,前段,60.0,130,47.98,,製造,順發,138
2025-06-15,完成,76.48,129,23.1,,製造,大宏,123
2025-07-26,完成,3.32,38,79.39,,製造,捷欣,73
2025-06-20,完成,91.7,99,78.9,待確認,品保,力鋼,124
2025-07-07,後段,57.87,48,19.46,,研發,永利,34
2025-06-24,中段,84.9,123,6.12,待確認,製造,順發,197
2025-06-03,中段,26.25,173,96.95,已回報,資材,大宏,46
2025-07-12,中段,66.31,11,55.29,,品保,順發,35
2025-07-15,中段,18.19,149,90.62,,資材,東昇,70
2025-06-02,完成,88.89,191,28.81,,資材,捷欣,112
2025-06-07,完成,15.9,78,18.56,待確認,資材,捷欣,152
2025-07-11,前段,73.54,199,34.78,,製造,東昇,33
2025-07-30,中段,94.48,206,46.78,,營運,力鋼,226
2025-07-21,完成,58.23,145,26.39,待確認,研發,順發,220
2025-06-22,前段,23.34,95,10.08,待確認,研發,永利,21
2025-07-24,完成,23.06,94,69.06,,製造,力鋼,145
2025-06-06,後段,38.64,140,48.95,,品保,順發,232
2025-06-15,前段,88.63,176,11.42,,品保,永利,64
2025-06-13,中段,28.23,144,12.48,,品保,東昇,162
2025-06-29,前段,89.1,54,4.64,,品保,大宏,206
2025-07-16,前段,17.66,209,38.37,,營運,力鋼,218
2025-07-01,中段,82.39,112,31.64,,資材,永利,83
2025-07-15,中段,91.75,174,32.04,,製造,捷欣,112
2025-06-02,前段,83.84,172,69.26,,研發,大宏,15
2025-07-09,完成,60.37,18,41.31,待確認,資材,順發,133
2025-06-05,後段,65.08,143,81.54,,品保,捷欣,153
2025-07-22,前段,21.25,160,27.41,待確認,資材,順發,44
2025-06-30,完成,8.54,67,36.59,已回報,製造,力鋼,133
2025-06-02,中段,44.38,10,3.75,已回報,營運,力鋼,215
2025-07-13,完成,17.29,238,83.08,,研發,永利,118
2025-06-11,中段,2.52,12,34.62,,營運,東昇,175
2025-06-14,前段,41.66,183,50.33,,資材,捷欣,38
2025-07-21,中段,87.47,34,75.04,,品保,東昇,238
2025-06-15,後段,71.59,165,60.86,,研發,東昇,181
2025-06-10,中段,33.43,85,79.26,,資材,捷欣,7
2025-06-11,前段,2.75,177,81.33,,製造,力鋼,161
2025-07-15,完成,4.02,183,73.29,,製造,力鋼,235
2025-07-14,後段,45.72,92,90.54,已回報,營運,東昇,131
2025-06-11,中段,42.1,36,79.71,已回報,製造,東昇,154
2025-07-02,中段,21.18,111,38.73,,研發,永利,99
2025-06-08,前段,97.67,64,94.54,,品保,順發,183
2025-06-30,後段,87.63,188,74.5,已回報,營運,捷欣,25
2025-06-04,中段,43.61,185,14.37,已回報,製造,大宏,167
2025-06-30,中段,11.95,124,55.45,,品保,捷欣,52
2025-06-01,後段,56.67,47,89.73,,營運,順發,185
2025-07-23,後段,81.44,22,8.03,,品保,捷欣,128
2025-07-23,完成,80.56,123,83.85,,營運,大宏,178
2025-06-19,完成,42.11,6,57.35,,資材,順發,4
2025-06-06,後段,66.61,13,40.96,,製造,力鋼,76
2025-07-23,完成,2.43,24,75.79,,資材,捷欣,119
2025-07-26,完成,6.01,16,61.17,待確認,資材,捷欣,188
2025-06-06,完成,36.67,7,58.94,已回報,製造,大宏,101
2025-07-19,完成,20.71,50,32.51,待確認,營運,東昇,88
2025-06-01,完成,4.06,71,40.72,,營運,東昇,123
2025-07-11,完成,96.04,164,49.54,,製造,捷欣,182
2025-06-08,中段,57.61,176,80.32,,研發,東昇,123
2025-06-23,中段,36.52,171,58.33,,製造,力鋼,145
2025-07-01,後段,69.78,71,31.22,已回報,營運,捷欣,21
2025-06-22,中段,12.49,240,77.3,已回報,營運,永利,111
2025-07-01,後段,47.95,161,12.17,,研發,力鋼,18
2025-07-23,前段,30.71,61,85.32,,資材,東昇,222
2025-06-29,完成,57.6,102,41.57,待確認,研發,永利,39
2025-07-25,完成,49.51,91,33.69,已回報,資材,東昇,33
2025-06-29,中段,30.8,212,15.24,,營運,順發,204
2025-07-20,後段,30.38,95,15.2,待確認,資材,捷欣,17
2025-06-22,完成,51.36,48,95.16,,製造,順發,224
2025-06-21,前段,95.2,40,3.29,已回報,營運,永利,201
2025-07-27,完成,69.88,131,53.32,,營運,力鋼,123
2025-06-19,前段,26.4,215,71.17,,品保,順發,124
2025-06-29,後段,52.63,71,43.54,,資材,順發,100
2025-07-13,完成,51.9,110,62.29,,製造,大宏,77
2025-07-18,前段,83.53,182,51.99,,研發,力鋼,63
2025-06-12,中段,30.81,143,59.2,,資材,大宏,20
2025-06-14,中段,54.61,217,65.96,,品保,永利,42
2025-07-08,完成,59.51,161,41.46,,品保,大宏,195
2025-06-05,完成,79.93,231,92.3,,品保,大宏,186
2025-07-02,中段,8.77,211,26.63,待確認,製造,永利,140
2025-06-29,中段,19.29,121,15.38,,研發,永利,216
2025-07-15,完成,31.1,16,11.28,,研發,捷欣,73
2025-07-14,中段,93.26,108,26.74,,營運,力鋼,104
2025-06-06,後段,58.76,201,71.09,已回報,營運,力鋼,123
2025-06-24,後段,27.79,177,34.31,待確認,營運,大宏,230
2025-07-03,完成,55.39,116,9.55,待確認,資材,永利,150
2025-06-25,完成,53.03,119,51.55,待確認,研發,東昇,7
2025-07-06,前段,42.12,139,54.49,已回報,研發,大宏,210
2025-06-15,前段,92.28,50,13.88,已回報,營運,永利,91
2025-07-18,後段,43.69,102,26.32,,資材,捷欣,19
2025-06-22,中段,11.37,173,33.99,,營運,順發,194
2025-07-03,後段,95.27,47,13.15,待確認,研發,順發,87
2025-07-14,後段,55.78,92,16.64,,品保,永利,158
2025-06-18,前段,54.0,225,74.23,待確認,品保,力鋼,171
2025-06-03,前段,23.38,96,31.52,,品保,東昇,86
2025-06-16,完成,36.35,235,25.78,待確認,資材,大宏,145
2025-07-02,完成,31.17,230,41.74,待確認,資材,永利,215
2025-06-07,中段,9.99,113,94.02,,營運,東昇,50
2025-06-26,後段,80.14,141,1.62,已回報,資材,順發,174
2025-06-25,後段,20.43,148,54.72,已回報,營運,順發,26
2025-07-27,後段,96.1,232,31.0,,品保,東昇,100
2025-07-07,完成,47.05,27,32.21,,製造,力鋼,32
2025-07-05,前段,22.45,106,38.08,,品保,大宏,55
2025-07-03,中段,91.37,103,64.04,,製造,力鋼,65
2025-06-13,後段,64.04,116,3.5,,品保,捷欣,208
2025-07-10,中段,12.74,160,92.43,,研發,力鋼,41
2025-06-26,中段,59.67,41,41.9,,營運,東昇,71
2025-07-20,完成,6.19,176,26.03,,營運,東昇,107
2025-07-03,中段,12.4,44,0.81,已回報,營運,捷欣,31
2025-07-29,完成,96.29,72,60.31,已回報,營運,順發,161
2025-06-25,中段,15.24,135,55.86,,資材,力鋼,114
2025-07-13,中段,93.71,228,30.76,待確認,營運,永利,61
2025-06-24,前段,79.23,81,29.91,待確認,品保,永利,38
2025-07-14,中段,94.53,131,38.34,,製造,順發,101
2025-06-16,後段,44.98,107,59.92,,製造,大宏,170
2025-07-27,中段,48.97,190,57.24,待確認,研發,永利,80
2025-07-22,中段,66.51,212,27.12,,品保,順發,130
2025-06-19,中段,38.53,26,88.06,已回報,研發,大宏,117
2025-06-25,後段,22.56,110,41.34,,品保,捷欣,117
2025-06-08,中段,65.63,121,25.19,,資材,力鋼,104
2025-06-30,中段,7.59,162,54.86,待確認,品保,捷欣,165
2025-07-05,完成,80.08,159,32.3,,製造,永利,158
2025-07-25,完成,4.1,231,93.85,,資材,永利,185
2025-06-15,完成,64.15,30,22.12,,研發,大宏,57
2025-07-22,後段,70.36,225,83.59,,營運,永利,46
2025-07-17,中段,1.01,212,3.31,,品保,東昇,115
2025-06-21,後段,0.3,210,95.61,,營運,大宏,172
2025-06-10,前段,0.5,151,63.36,,研發,順發,63
2025-06-13,後段,34.52,200,48.54,待確認,品保,捷欣,40
2025-06-04,完成,56.39,182,65.23,待確認,研發,大宏,18
2025-07-11,完成,76.09,9,55.92,已回報,資材,捷欣,139
2025-07-13,完成,48.1,85,14.39,,研發,永利,184
2025-07-17,前段,94.65,134,8.07,已回報,營運,永利,90
2025-07-19,後段,52.91,104,64.39,待確認,製造,東昇,166
2025-06-18,前段,91.22,133,33.3,,營運,大宏,238
2025-07-24,後段,47.21,42,63.94,待確認,資材,東昇,86
2025-06-01,完成,12.61,25,67.03,待確認,營運,東昇,204
2025-07-09,完成,37.54,91,29.51,已回報,研發,東昇,109
2025-07-06,前段,16.0,31,77.11,,營運,大宏,220
2025-07-03,完成,63.93,107,24.0,,營運,捷欣,138
2025-07-25,中段,35.3,142,88.09,已回報,研發,大宏,135
2025-07-02,中段,47.58,155,64.63,,品保,力鋼,154
2025-06-16,前段,12.19,134,89.63,,製造,東昇,67
2025-07-14,完成,84.8,43,47.89,,資材,順發,55
2025-06-12,後段,54.51,215,26.89,,營運,力鋼,29
2025-06-27,完成,17.14,219,6.25,,製造,順發,157
2025-06-13,完成,49.54,56,56.4,已回報,品保,順發,66
2025-07-07,中段,14.75,223,34.06,待確認,營運,東昇,113
2025-06-24,後段,47.77,10,89.1,,製造,永利,32
2025-06-05,中段,87.75,186,77.88,待確認,資材,順發,25
2025-06-04,中段,38.78,112,62.66,,研發,捷欣,165
2025-07-11,中段,97.25,193,77.79,,品保,東昇,47
2025-06-30,完成,65.58,151,48.87,已回報,品保,永利,222
2025-07-02,前段,82.84,13,78.57,待確認,研發,力鋼,115
2025-06-14,中段,20.85,175,20.67,,資材,大宏,112
2025-06-01,完成,2.13,225,93.58,已回報,品保,順發,230
2025-06-21,中段,73.98,9,58.97,待確認,品保,東昇,97
2025-06-08,完成,65.8,81,22.92,已回報,製造,力鋼,43
2025-07-20,完成,4.89,91,19.52,,品保,東昇,40
2025-07-01,中段,29.51,35,20.94,已回報,研發,順發,8
2025-07-02,後段,0.69,37,20.39,,營運,永利,227
2025-07-23,中段,27.66,82,45.87,已回報,製造,捷欣,231
2025-07-25,後段,7.58,141,89.97,,製造,順發,13
2025-06-11,後段,96.96,105,31.98,,資材,順發,184
2025-06-03,中段,4.12,202,58.25,待確認,製造,大宏,45
2025-07-06,中段,80.46,145,20.11,,資材,永利,29
2025-06-21,完成,30.44,150,75.75,,營運,力鋼,224
2025-06-08,完成,83.88,133,50.88,,營運,永利,41
2025-06-04,中段,65.36,144,91.06,待確認,製造,東昇,80
2025-07-16,前段,89.1,5,45.65,,營運,捷欣,104
2025-07-07,中段,32.61,203,35.12,,資材,東昇,49
2025-06-07,完成,54.29,155,33.6,,營運,順發,132
2025-07-18,中段,89.1,184,67.6,已回報,營運,捷欣,189
2025-06-12,前段,26.75,109,19.54,,資材,捷欣,166
2025-06-18,前段,69.22,192,6.25,待確認,品保,順發,195
2025-07-26,中段,69.67,7,15.25,待確認,營運,東昇,20
2025-07-29,前段,4.24,131,35.78,,資材,捷欣,114
2025-06-13,中段,85.48,2,68.52,,製造,順發,16
2025-07-20,後段,44.22,222,58.4,,品保,順發,101
2025-06-21,中段,69.11,25,25.76,,資材,捷欣,52
2025-06-03,完成,89.19,232,23.61,待確認,研發,捷欣,159
2025-07-22,前段,48.68,10,14.87,,品保,永利,131
2025-07-07,完成,22.23,107,7.05,,品保,力鋼,236
2025-07-24,中段,29.91,185,64.65,,品保,順發,25
2025-07-06,完成,44.78,59,19.88,已回報,營運,大宏,128
2025-06-25,完成,69.9,184,90.81,待確認,資材,捷欣,197
2025-07-17,後段,90.36,23,13.64,已回報,製造,大宏,234
2025-06-02,後段,62.93,69,75.52,,營運,永利,174
2025-06-06,完成,75.1,61,12.49,,製造,大宏,116
2025-07-24,中段,48.36,186,31.37,,品保,東昇,59
2025-06-24,前段,77.52,123,80.59,,資材,力鋼,229
2025-07-23,中段,88.6,166,80.78,已回報,研發,大宏,17
2025-06-05,前段,20.61,55,78.0,,製造,順發,49
2025-07-04,前段,25.78,229,47.6,待確認,研發,力鋼,39
2025-07-21,中段,60.66,38,53.12,,品保,捷欣,187
2025-07-04,後段,46.52,226,18.32,,營運,大宏,45
2025-07-19,中段,74.31,121,37.44,待確認,品保,大宏,46
2025-07-11,後段,8.83,235,81.9,,研發,永利,57
2025-06-17,前段,52.63,205,41.63,待確認,製造,順發,164
2025-06-16,中段,10.48,18,68.62,,資材,東昇,154
2025-07-07,前段,37.01,181,48.88,已回報,營運,捷欣,111
2025-07-30,中段,92.6,240,15.14,,研發,力鋼,77
2025-06-20,中段,86.47,20,31.81,,資材,力鋼,65
2025-07-24,中段,22.98,17,34.2,,製造,大宏,115
2025-07-05,後段,39.75,90,97.62,,資材,力鋼,236
2025-07-22,完成,52.25,202,29.48,待確認,資材,大宏,189
2025-06-13,前段,64.67,207,64.53,,研發,力鋼,181
2025-06-08,前段,67.23,66,82.87,,營運,順發,203
2025-06-16,中段,30.54,150,81.53,,製造,永利,47
2025-06-21,後段,47.32,47,9.57,,製造,東昇,31
2025-06-30,後段,12.56,188,50.16,已回報,營運,力鋼,95
2025-06-23,完成,62.01,159,5.24,,營運,力鋼,72
2025-07-15,前段,3.32,171,21.84,待確認,營運,大宏,91
2025-06-25,完成,92.64,202,3.18,,製造,順發,159
2025-07-15,前段,18.76,119,8.58,已回報,研發,永利,200
2025-06-10,前段,66.92,157,21.31,,營運,順發,46
2025-06-13,中段,33.41,59,65.11,待確認,研發,永利,104
2025-07-15,完成,68.09,165,58.68,,營運,順發,87
2025-07-02,完成,43.9,112,83.25,已回報,資材,大宏,228
2025-07-19,後段,79.12,223,22.48,已回報,製造,永利,9
2025-07-27,完成,55.31,140,94.72,,資材,力鋼,50
2025-06-26,完成,49.0,2,77.09,待確認,營運,順發,131
2025-07-07,後段,14.52,238,89.32,,營運,大宏,201
2025-07-10,中段,80.32,51,92.94,,製造,力鋼,196
2025-07-02,完成,93.72,76,92.2,待確認,製造,力鋼,26
2025-06-24,前段,69.33,94,29.16,,品保,力鋼,223
2025-06-27,前段,33.54,174,61.75,,研發,大宏,15
2025-07-22,前段,90.62,153,97.79,,製造,大宏,48
2025-06-02,前段,18.09,184,26.08,,營運,捷欣,159
2025-06-04,後段,50.78,46,49.88,,製造,力鋼,62
2025-06-11,完成,21.98,199,79.98,待確認,資材,大宏,160
2025-06-30,後段,87.37,187,58.5,,品保,順發,57
2025-07-14,中段,13.96,155,88.08,待確認,研發,永利,70
2025-06-21,中段,90.37,137,89.22,已回報,營運,永利,204
2025-07-22,後段,6.91,166,47.4,,資材,東昇,17
2025-06-24,前段,77.54,101,79.44,,營運,東昇,132
2025-06-17,後段,33.09,62,34.44,已回報,資材,力鋼,138
2025-07-02,後段,60.04,134,70.93,,製造,力鋼,176
2025-06-25,後段,2.05,167,30.44,,品保,力鋼,42
2025-06-24,後段,20.53,41,31.12,已回報,品保,永利,150
2025-07-03,完成,82.84,177,57.06,已回報,研發,大宏,80
2025-06-07,中段,6.95,217,94.35,,研發,東昇,234
2025-07-15,完成,1.94,50,7.89,已回報,製造,東昇,85
2025-06-08,後段,60.43,126,73.02,,品保,力鋼,148
2025-07-19,後段,64.66,234,87.86,待確認,品保,大宏,219
2025-07-23,完成,84.3,13,23.5,,研發,東昇,145
2025-07-07,完成,33.35,183,82.7,待確認,營運,大宏,153
2025-06-20,前段,80.43,102,2.4,待確認,製造,大宏,173
2025-07-21,前段,87.93,11,37.0,,研發,大宏,223
2025-07-26,中段,89.23,33,35.95,已回報,製造,東昇,217
2025-06-26,完成,8.24,79,39.79,,資材,順發,55
2025-06-25,完成,74.97,40,11.34,,營運,大宏,166
2025-07-13,中段,56.31,27,69.59,已回報,製造,力鋼,175
2025-07-05,後段,77.92,207,52.41,待確認,製造,力鋼,93
2025-06-20,完成,31.56,82,35.12,,營運,東昇,128
2025-07-17,中段,18.15,158,23.23,,營運,捷欣,239
2025-06-28,後段,43.69,175,25.1,,製造,大宏,193
2025-06-11,中段,12.54,9,86.95,,研發,東昇,231
2025-07-28,後段,10.7,111,20.09,,資材,力鋼,134
2025-06-05,完成,21.36,57,26.07,已回報,研發,捷欣,136
2025-06-14,完成,93.61,80,82.95,,資材,永利,193
2025-07-19,中段,55.18,236,5.6,,資材,順發,94
2025-06-03,後段,20.22,170,69.63,,資材,東昇,232
2025-07-10,中段,2.35,181,43.03,,營運,永利,209
2025-07-10,前段,24.23,151,97.39,,資材,永利,10
2025-06-05,後段,51.17,169,9.95,,製造,順發,154
2025-06-19,前段,45.03,156,87.86,待確認,營運,順發,132
2025-07-26,完成,91.52,96,20.5,,製造,力鋼,17
2025-06-19,完成,69.52,127,35.77,,研發,東昇,99
2025-06-07,完成,8.19,67,36.29,待確認,製造,力鋼,62
2025-07-09,後段,96.72,105,36.67,待確認,製造,永利,199
2025-07-02,中段,18.63,160,49.5,已回報,營運,捷欣,139
2025-06-11,後段,64.46,150,41.07,待確認,品保,順發,56
2025-06-20,前段,76.56,153,45.28,,研發,永利,28
2025-06-26,完成,17.83,112,61.84,待確認,製造,東昇,164
2025-07-02,後段,61.4,215,63.86,,研發,永利,155
2025-07-23,中段,93.96,240,85.5,,研發,順發,110
2025-07-18,前段,67.34,106,14.5,,資材,永利,82
2025-07-18,後段,6.16,38,50.6,,營運,永利,2
2025-06-20,前段,67.95,185,91.07,,營運,永利,34
2025-06-24,中段,80.27,146,48.84,,資材,捷欣,36
2025-06-28,完成,63.28,11,70.66,,研發,捷欣,49
2025-07-26,完成,95.68,78,23.32,,研發,東昇,148
2025-06-01,中段,57.67,228,16.22,待確認,品保,大宏,3
2025-07-03,前段,67.88,136,5.36,,製造,力鋼,185
2025-07-20,完成,47.29,201,74.24,,製造,力鋼,69
2025-07-01,後段,10.85,44,47.02,,品保,力鋼,211
2025-06-09,完成,24.25,48,87.85,已回報,製造,永利,137
2025-06-13,後段,76.77,111,8.45,已回報,營運,順發,236
2025-07-16,後段,66.57,235,20.7,待確認,研發,東昇,115
2025-06-13,中段,70.59,153,3.63,待確認,研發,捷欣,217
2025-07-28,前段,29.2,239,29.15,已回報,品保,力鋼,215
2025-07-01,後段,30.49,136,90.21,,製造,大宏,84
2025-06-29,前段,42.51,100,9.5,,製造,順發,39
2025-07-24,前段,97.85,160,10.52,待確認,營運,捷欣,37
2025-07-27,後段,71.38,45,30.31,,研發,永利,153
2025-06-12,前段,55.67,40,4.72,,資材,東昇,112
2025-06-28,完成,29.5,210,83.76,,製造,大宏,194
2025-06-21,後段,53.87,228,72.8,,營運,東昇,219
2025-06-26,中段,60.26,58,95.55,,營運,永利,171
2025-07-01,完成,75.58,60,76.18,,研發,捷欣,216
2025-07-24,後段,88.37,38,53.33,,資材,東昇,103
2025-07-24,前段,8.29,37,47.89,待確認,研發,捷欣,79
2025-07-28,前段,49.03,76,2.12,待確認,研發,東昇,204
2025-07-19,前段,24.55,197,71.97,,營運,順發,31
2025-07-21,前段,9.47,44,39.24,待確認,資材,順發,93
2025-06-03,完成,96.75,156,81.76,已回報,研發,東昇,125
2025-07-23,前段,7.88,49,24.61,待確認,資材,捷欣,179
2025-07-09,後段,24.07,187,1.89,待確認,資材,力鋼,57
2025-06-21,中段,96.04,44,28.19,,營運,大宏,239
2025-06-25,後段,82.46,129,90.62,,製造,捷欣,25
2025-07-10,中段,60.43,102,62.43,,資材,永利,238
2025-06-30,中段,28.65,48,58.12,,資材,東昇,173
2025-07-04,後段,83.56,132,24.33,,研發,力鋼,54
2025-06-17,前段,53.86,15,40.87,,資材,大宏,239
2025-06-13,前段,24.78,222,19.09,,資材,東昇,94
2025-07-30,中段,48.78,202,26.1,,製造,東昇,99
2025-07-20,完成,40.2,228,75.25,,品保,東昇,70
2025-07-09,完成,85.97,44,11.6,待確認,資材,大宏,99
2025-06-09,中段,56.42,161,18.36,,製造,捷欣,161
2025-06-11,前段,38.56,36,40.12,,品保,順發,106
2025-07-03,中段,7.96,30,11.05,已回報,研發,大宏,164
2025-07-14,完成,37.01,149,33.5,已回報,營運,永利,144
2025-07-30,完成,7.46,115,91.72,,資材,力鋼,20
2025-06-11,後段,26.72,87,88.47,已回報,研發,捷欣,217
2025-06-11,完成,97.15,85,18.01,,研發,順發,98
2025-06-06,前段,23.86,179,36.33,,資材,東昇,61
2025-06-30,前段,21.35,92,42.6,,營運,力鋼,206
2025-06-16,前段,76.72,183,40.11,已回報,營運,順發,56
2025-06-12,後段,21.22,202,89.4,已回報,營運,永利,100
2025-06-10,完成,31.54,20,91.9,,品保,永利,177
2025-07-05,完成,78.25,47,55.76,待確認,營運,東昇,217
2025-06-20,前段,82.97,167,41.61,已回報,研發,大宏,204
2025-06-24,中段,26.0,70,45.14,,資材,東昇,118
2025-06-30,後段,9.7,26,90.48,已回報,品保,永利,86
2025-06-05,完成,80.2,153,10.15,,製造,捷欣,231
2025-06-22,完成,77.73,38,58.14,已回報,資材,順發,56
2025-07-20,後段,10.67,239,38.74,,研發,順發,83
2025-07-29,後段,17.31,23,48.24,,資材,順發,127
2025-06-29,完成,92.16,174,50.14,,營運,力鋼,153
2025-06-23,後段,49.95,191,10.69,已回報,製造,大宏,234
2025-07-06,完成,88.02,37,97.99,,製造,永利,124
2025-06-16,完成,80.25,159,62.46,待確認,營運,順發,12
2025-07-25,後段,10.0,2,34.71,待確認,營運,東昇,132
2025-07-11,中段,19.43,74,91.69,,資材,捷欣,31
2025-06-17,前段,29.36,56,80.7,,營運,順發,240
2025-07-30,前段,44.79,49,94.38,,製造,大宏,193
2025-06-07,中段,19.65,133,38.2,,資材,捷欣,201
2025-06-21,中段,35.55,158,65.38,待確認,營運,大宏,113
2025-07-04,完成,96.01,175,79.44,待確認,資材,順發,223
2025-07-05,前段,51.66,205,26.13,,研發,順發,110
2025-06-04,後段,90.74,138,63.74,,資材,順發,163
2025-06-07,後段,91.5,29,11.48,,研發,東昇,5
2025-06-04,後段,8.56,238,33.24,待確認,品保,捷欣,76
2025-07-13,完成,19.34,199,66.42,,資材,東昇,105
2025-07-07,完成,2.15,95,56.91,,製造,力鋼,210
2025-06-29,中段,57.72,157,90.62,,品保,東昇,120
2025-06-16,前段,75.29,92,76.97,,研發,順發,206
2025-06-02,中段,32.11,197,20.54,已回報,品保,永利,95
2025-06-11,前段,20.82,94,44.37,待確認,品保,東昇,93
2025-07-09,中段,97.3,37,18.5,,營運,永利,211
2025-07-26,完成,31.31,111,96.16,,製造,力鋼,167
2025-06-07,完成,35.27,68,84.74,,製造,大宏,88
2025-07-11,前段,67.6,70,25.55,,營運,大宏,220
2025-06-25,後段,43.24,156,50.65,已回報,營運,順發,35
2025-07-04,前段,1.6,27,6.17,,營運,順發,124
2025-06-26,後段,64.61,95,8.7,,製造,順發,12
2025-06-11,後段,6.76,63,30.57,,品保,永利,23
2025-06-17,後段,77.82,152,41.32,待確認,製造,順發,61
2025-07-17,後段,69.67,158,46.1,,營運,順發,160
2025-07-03,前段,62.31,209,1.63,已回報,研發,大宏,172
2025-06-20,後段,96.57,188,27.24,,研發,順發,85
2025-07-23,中段,46.71,115,0.83,已回報,品保,順發,16
2025-07-22,後段,2.42,112,84.42,,製造,大宏,123
2025-06-10,完成,72.24,47,12.55,已回報,營運,力鋼,138
2025-07-17,後段,57.76,12,70.9,待確認,資材,大宏,85
2025-07-13,後段,9.86,83,1.27,,營運,捷欣,130
2025-07-25,前段,9.72,86,9.95,已回報,品保,力鋼,144
2025-07-01,中段,77.58,69,74.68,待確認,營運,大宏,189
2025-06-08,前段,65.78,157,10.72,已回報,資材,順發,168
2025-06-28,完成,95.8,17,22.85,,品保,東昇,209
