月份,項目,金額,數量,比率,來源,單位,客戶,耗時分鐘
2026/7/23,後段,26.11,159,38.43,待確認,營運,捷欣,214
6月30日,後段,95.54,132,17.38,,品保,永利,57
7月19日,後段,54.59,,24.06,,營運,東昇,97
7月9日,後段,77.84,89,13.66,,資材,捷欣,184
2026/7/19,中段,79.87,143,31.13,,研發,東昇,36
2026/7/29,前段,79.83,200,58.43,,資材,大宏,33
2026/7/7,前段,79.87,126,51.58,,製造,捷欣,25
6月2日,後段,57.49,,82.62,,資材,大宏,3
2026/6/28,完成,96.58,,96.37,,資材,大宏,107
0723,前段,16.04,,76.66,,資材,力鋼,213
6月8日,完成,23.05,,95.67,已回報,研發,東昇,195
7月1日,前段,76.35,,66.08,,研發,捷欣,225
0615,完成,7.38,4,22.52,待確認,研發,永利,1
7月28日,後段,49.15,214,81.01,,資材,東昇,105
0628,前段,87.57,,91.78,,資材,東昇,19
6月14日,後段,35.63,55,87.96,已回報,資材,順發,120
7月30日,後段,38.39,82,78.08,,製造,力鋼,74
2026/7/25,完成,53.52,116,59.01,,營運,力鋼,165
2026/7/2,後段,8.71,39,61.16,已回報,研發,永利,12
7月13日,前段,81.37,199,60.03,待確認,品保,永利,12
2026/7/20,後段,66.42,229,75.57,待確認,資材,大宏,85
0623,前段,31.2,,35.14,,品保,捷欣,85
0624,前段,56.55,203,59.15,已回報,品保,力鋼,236
2026/7/13,後段,44.67,218,87.86,,品保,東昇,166
0608,完成,95.49,135,94.08,,研發,大宏,206
7月22日,前段,76.04,,78.68,已回報,營運,東昇,175
2026/7/7,前段,39.56,16,71.38,,資材,大宏,160
7月6日,完成,95.94,33,78.31,,研發,力鋼,71
0622,前段,57.42,144,84.83,待確認,研發,順發,132
2026/7/30,中段,20.31,239,88.2,已回報,營運,順發,68
7月4日,中段,78.42,9,6.39,已回報,品保,東昇,213
2026/7/2,前段,49.28,78,20.34,,研發,力鋼,92
0720,中段,0.7,222,32.78,待確認,研發,捷欣,230
7月23日,後段,51.42,,8.24,已回報,研發,順發,167
0630,完成,62.97,181,5.51,已回報,品保,順發,162
6月21日,中段,87.17,192,90.61,已回報,品保,力鋼,76
6月25日,前段,10.22,,34.79,,營運,順發,48
0713,完成,72.45,,97.5,,營運,力鋼,71
0624,完成,23.4,5,19.72,已回報,研發,捷欣,229
0702,前段,89.36,136,96.34,,製造,東昇,46
0613,前段,5.28,,71.74,已回報,研發,順發,19
2026/7/8,後段,8.77,108,53.72,待確認,營運,順發,235
7月10日,完成,64.74,106,39.53,,營運,東昇,181
0629,完成,83.33,,97.71,,研發,順發,239
7月25日,完成,87.16,,16.64,,製造,永利,55
7月28日,中段,74.92,,55.36,,研發,力鋼,78
6月22日,完成,3.28,22,29.86,,製造,永利,189
6月13日,完成,55.34,49,6.36,已回報,營運,東昇,173
2026/7/15,後段,80.05,,11.5,待確認,資材,順發,136
7月26日,中段,50.32,204,27.86,,製造,永利,50
0712,完成,9.9,14,67.35,,品保,順發,204
0717,後段,76.4,222,22.53,,製造,力鋼,116
0606,後段,88.38,230,0.84,已回報,研發,東昇,71
6月18日,前段,36.51,,79.42,,研發,東昇,214
0729,完成,46.52,,40.83,,品保,捷欣,152
0729,完成,22.79,,91.59,,品保,力鋼,52
2026/7/13,完成,5.01,,71.1,已回報,製造,東昇,195
7月23日,中段,29.19,,0.58,,資材,永利,213
0620,後段,9.25,120,91.16,已回報,研發,大宏,225
0620,後段,3.95,34,62.19,待確認,資材,捷欣,83
0704,完成,31.37,189,95.54,待確認,營運,順發,12
2026/7/6,完成,74.75,,80.98,,研發,順發,210
7月5日,中段,37.91,49,41.11,已回報,研發,大宏,34
0621,後段,67.95,226,88.21,,資材,捷欣,53
2026/6/27,中段,5831.0,60,32.41,,品保,大宏,88
0616,中段,47.9,120,1.14,,資材,東昇,235
7月4日,完成,90.58,,95.19,,資材,力鋼,229
2026/6/11,完成,85.53,8,54.51,已回報,製造,大宏,105
6月6日,完成,76.34,5,51.42,,品保,力鋼,114
2026/7/10,中段,44.27,197,58.84,,資材,永利,131
2026/6/10,後段,25.84,,90.94,,研發,大宏,226
2026/7/12,中段,24.34,208,46.38,,製造,永利,62
2026/7/9,後段,68.31,39,65.78,,資材,大宏,81
2026/6/1,完成,25.97,4,66.25,待確認,製造,力鋼,39
2026/7/2,前段,37.19,147,77.13,,資材,力鋼,215
0620,前段,30.57,68,48.31,待確認,研發,力鋼,42
7月10日,前段,33.13,,44.97,待確認,研發,捷欣,236
2026/6/28,前段,55.96,70,81.63,,資材,永利,196
2026/7/24,完成,90.4,94,29.32,已回報,品保,力鋼,123
2026/6/13,前段,23.31,146,12.82,,製造,順發,36
2026/6/20,中段,86.76,111,67.17,待確認,營運,永利,16
7月9日,中段,18.29,,42.84,,研發,力鋼,78
7月14日,中段,64.08,184,20.67,待確認,營運,東昇,226
6月21日,前段,34.25,35,19.27,,製造,力鋼,233
7月28日,中段,33.8,,60.28,,品保,永利,168
0623,後段,29.89,37,71.63,待確認,製造,大宏,63
2026/7/29,完成,74.51,208,92.66,,製造,東昇,86
7月5日,前段,45.75,161,36.13,,製造,順發,136
2026/7/6,完成,95.11,49,79.57,,品保,東昇,173
7月28日,前段,65.9,,87.27,已回報,營運,東昇,201
0708,後段,23.96,161,39.38,,製造,順發,92
2026/7/3,中段,39.57,12,86.1,,研發,永利,136
6月12日,中段,19.99,,9.7,,營運,東昇,229
7月30日,後段,20.08,106,83.16,,品保,順發,28
2026/6/26,前段,65.45,2,96.4,待確認,研發,捷欣,224
7月13日,後段,96.12,,28.57,已回報,資材,順發,10
7月7日,中段,42.93,119,51.01,已回報,品保,力鋼,46
0718,前段,6.15,120,82.82,,製造,捷欣,102
6月20日,前段,8662.0,6,86.87,待確認,製造,捷欣,144
2026/6/21,前段,84.92,20,14.36,已回報,研發,力鋼,136
2026/7/9,前段,26.85,234,81.49,,品保,永利,17
2026/6/11,中段,67.41,171,24.41,待確認,製造,永利,124
0724,前段,10.82,,40.13,已回報,研發,大宏,228
0719,後段,24.73,189,31.79,,營運,順發,153
6月8日,後段,52.54,,58.68,,製造,捷欣,20
2026/7/28,中段,20.09,,21.16,,研發,力鋼,237
6月26日,完成,25.57,,21.05,待確認,資材,捷欣,196
0630,前段,12.16,59,49.02,待確認,資材,大宏,18
7月1日,完成,15.21,56,39.87,,資材,永利,24
0719,中段,21.72,152,58.32,,資材,順發,50
7月19日,中段,7676.0,151,33.69,,研發,順發,228
0610,完成,20.9,176,31.17,待確認,資材,力鋼,20
7月7日,完成,1.12,175,44.99,,研發,永利,174
6月14日,完成,95.03,170,95.25,已回報,品保,東昇,73
2026/7/8,前段,16.55,49,68.64,,研發,力鋼,13
7月18日,前段,51.56,101,4.95,待確認,研發,東昇,206
2026/6/10,完成,73.4,,20.39,已回報,製造,順發,228
6月23日,中段,53.64,,88.34,,研發,捷欣,232
7月7日,後段,77.8,74,24.31,已回報,研發,大宏,103
0714,前段,66.46,96,15.79,,資材,捷欣,90
6月11日,後段,41.05,,83.6,,製造,大宏,172
2026/6/18,中段,30.28,,7.8,待確認,研發,順發,145
0719,前段,26.35,,50.54,,品保,力鋼,185
6月22日,後段,24.13,123,50.63,,營運,永利,68
0712,中段,60.82,101,15.52,,製造,順發,219
2026/6/24,後段,69.84,,31.79,,品保,大宏,10
0603,後段,39.98,125,97.26,已回報,製造,力鋼,155
0607,後段,97.41,121,95.92,,品保,力鋼,71
0604,中段,16.2,,53.54,,品保,捷欣,29
6月5日,中段,86.71,227,57.97,已回報,營運,捷欣,140
7月4日,後段,33.14,60,38.92,,資材,捷欣,90
2026/7/16,前段,83.26,,84.81,已回報,製造,力鋼,223
0701,後段,61.05,,91.56,,營運,力鋼,156
2026/7/7,前段,49.33,28,38.34,已回報,營運,大宏,91
7月1日,後段,36.25,191,43.95,,資材,東昇,51
2026/7/5,前段,23.01,141,55.22,待確認,品保,東昇,59
7月20日,前段,22.78,236,32.21,,資材,大宏,162
2026/7/29,完成,39.33,88,88.69,,營運,大宏,99
0722,中段,71.47,24,20.57,待確認,製造,大宏,228
6月27日,完成,32.62,56,90.8,已回報,營運,捷欣,80
2026/7/10,完成,80.47,111,48.41,已回報,資材,力鋼,40
7月26日,中段,64.17,195,35.22,,研發,順發,16
0723,中段,16.79,,63.62,,營運,捷欣,38
2026/7/27,後段,33.48,,90.41,已回報,營運,大宏,13
7月22日,後段,25.12,67,21.06,,品保,力鋼,180
7月24日,後段,40.48,4,11.94,已回報,研發,順發,234
2026/6/2,完成,35.07,196,10.2,,營運,捷欣,86
0713,前段,31.97,207,93.23,,品保,順發,26
0709,前段,31.39,83,94.49,,資材,東昇,134
2026/6/20,完成,59.96,,69.74,,資材,永利,182
2026/7/15,完成,84.67,65,66.89,,製造,順發,28
2026/6/18,中段,25.66,63,7.57,,品保,捷欣,46
0714,完成,90.08,,56.31,,研發,東昇,2
2026/6/9,中段,7.6,,34.71,,品保,永利,58
2026/7/13,完成,42.75,103,4.4,待確認,製造,捷欣,56
2026/7/6,完成,14.21,224,78.85,,營運,順發,124
7月1日,中段,2.9,91,54.07,已回報,製造,順發,205
0615,後段,34.47,68,95.9,,研發,捷欣,190
0703,完成,27.09,132,34.79,已回報,資材,永利,104
2026/7/19,完成,11.37,2,39.42,,品保,力鋼,128
2026/7/6,中段,26.87,,62.99,待確認,品保,東昇,225
7月9日,前段,62.26,,86.97,,製造,順發,112
0626,後段,97.04,143,58.0,已回報,製造,捷欣,82
0603,後段,85.16,192,33.73,待確認,營運,捷欣,40
7月16日,前段,43.35,11,48.74,,製造,捷欣,225
2026/6/3,中段,33.65,95,29.05,已回報,資材,捷欣,97
2026/7/28,前段,94.48,113,82.3,,研發,捷欣,159
6月5日,完成,24.68,108,29.02,待確認,營運,東昇,54
2026/7/20,完成,18.97,180,25.01,待確認,研發,大宏,77
7月9日,前段,40.52,54,52.36,待確認,營運,順發,81
7月26日,前段,30.49,162,70.99,待確認,營運,順發,19
0608,後段,81.05,,65.93,已回報,資材,順發,202
7月14日,中段,46.07,,91.21,,營運,力鋼,9
2026/6/28,完成,78.62,,4.34,待確認,資材,大宏,13
0705,後段,27.21,211,87.07,待確認,品保,力鋼,94
2026/7/8,完成,30.1,70,72.1,已回報,研發,永利,34
0602,前段,66.99,,30.64,已回報,資材,大宏,78
6月8日,完成,24.44,,40.69,,品保,永利,54
2026/7/7,中段,84.43,139,22.72,,研發,捷欣,212
2026/6/2,完成,88.2,196,43.14,,品保,順發,76
2026/7/16,後段,80.65,,70.43,,製造,永利,3
6月29日,前段,22.16,32,84.54,已回報,營運,東昇,114
7月25日,後段,40.12,87,3.0,已回報,營運,捷欣,118
2026/7/8,前段,79.97,238,34.1,,營運,捷欣,2
2026/7/23,中段,70.01,237,62.41,,研發,捷欣,5
0604,前段,53.61,198,87.91,待確認,資材,大宏,67
0601,完成,35.83,103,87.86,,研發,順發,238
0725,後段,74.75,150,95.01,,研發,力鋼,160
2026/7/21,後段,79.78,230,78.13,已回報,品保,力鋼,194
0712,前段,31.01,52,84.59,,研發,永利,28
6月16日,前段,8.37,131,24.55,,品保,捷欣,188
2026/6/25,前段,0.39,,11.67,已回報,品保,順發,2
7月13日,後段,32.85,222,37.14,,研發,順發,79
2026/6/27,中段,27.09,,17.18,,製造,永利,188
2026/7/5,後段,62.27,,97.05,已回報,品保,順發,198
7月1日,前段,5.5,,90.2,,研發,力鋼,107
2026/7/30,完成,81.42,18,86.22,,營運,力鋼,233
6月1日,中段,16.13,,27.82,,營運,順發,55
0625,中段,93.15,71,19.57,已回報,資材,東昇,34
2026/7/23,後段,35.99,50,81.47,已回報,資材,大宏,155
0705,前段,57.91,,87.52,待確認,品保,東昇,217
2026/6/13,完成,32.01,,94.75,待確認,製造,捷欣,118
2026/7/8,前段,59.33,198,5.96,待確認,研發,大宏,151
2026/7/1,中段,84.1,,5.48,待確認,製造,大宏,144
2026/7/28,前段,74.37,,72.26,,資材,捷欣,221
2026/6/15,中段,40.85,109,48.79,待確認,研發,力鋼,141
